"DexNumber","Name","Type","Abilities","Generation","Hp","Attack","Defense","SpecialAttack","SpecialDefense","Speed","TotalStats","Weight","Height","GenderProbM","Category","CatchRate","EggCycles","EggGroup","LevelingRate","BaseFriendship"
494,"Victini","['Psychic', 'Fire']","['Victory Star']","V",100,100,100,100,100,100,600,4.0,0.4,"","Victory Pokémon","3","120",['No Eggs Discovered'],"Slow
","100
"
1,"Bulbasaur","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']","I",45,49,49,65,65,45,318,6.9,0.7,0.875,"Seed Pokémon","45","20",['Monster' 'Grass'],"Medium Slow
","70
"
2,"Ivysaur","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']","I",60,62,63,80,80,60,405,13.0,1.0,0.875,"Seed Pokémon","45","20",['Monster' 'Grass'],"Medium Slow
","70
"
3,"Venusaur","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']","I",80,82,83,100,100,80,625,100.0,2.0,0.875,"Seed Pokémon","45","20",['Monster' 'Grass'],"Medium Slow
","70
"
4,"Charmander","['Fire']","['Blaze', 'Solar Power']","I",39,52,43,60,50,65,309,8.5,0.6,0.875,"Lizard Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
5,"Charmeleon","['Fire']","['Blaze', 'Solar Power']","I",58,64,58,80,65,80,405,19.0,1.1,0.875,"Flame Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
6,"Charizard","['Fire', 'Flying']","['Blaze', 'Solar Power']","I",78,84,78,109,85,100,634,90.5,1.7,0.875,"Flame Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
7,"Squirtle","['Water']","['Torrent', 'Rain Dish']","I",44,48,65,50,64,43,314,9.0,0.5,0.875,"Tiny Turtle Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
8,"Wartortle","['Water']","['Torrent', 'Rain Dish']","I",59,63,80,65,80,58,405,22.5,1.0,0.875,"Turtle Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
9,"Blastoise","['Water']","['Torrent', 'Rain Dish']","I",79,83,100,85,105,78,630,85.5,1.6,0.875,"Shellfish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
10,"Caterpie","['Bug']","['Shield Dust', 'Run Away']","I",45,30,35,20,20,45,195,2.9,0.3,0.5,"Worm Pokémon","255","15",['Bug'],"Medium Fast
","70
"
11,"Metapod","['Bug']","['Shed Skin']","I",50,20,55,25,25,30,205,9.9,0.7,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
"
12,"Butterfree","['Bug', 'Flying']","['Tinted Lens']","I",60,45,50,90,80,70,395,32.0,1.1,0.5,"Butterfly Pokémon","45","15",['Bug'],"Medium Fast
","70
"
