DexNumber,Name,Type1,Type2,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,Category,CatchRate,EggCycles,EggGroup1,EggGroup2,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy
494,Victini,Psychic,Fire,Victory Star,None,None,5,100,100,100,100,100,100,600,4.0,0.4,0.5,1,Victory Pokémon,3,120,No Eggs Discovered,No Egg Group,Slow,100,0,1,0,0,1,1,No Preevolution,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,2.0,0.5
1,Bulbasaur,Grass,Poison,Overgrow,Chlorophyll,None,1,45,49,49,65,65,45,318,6.9,0.7,0.875,0,Seed Pokémon,45,20,Monster,Grass,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
2,Ivysaur,Grass,Poison,Overgrow,Chlorophyll,None,1,60,62,63,80,80,60,405,13.0,1.0,0.875,0,Seed Pokémon,45,20,Monster,Grass,Medium Slow,70,0,0,0,0,2,3,Bulbasaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
3,Venusaur,Grass,Poison,Overgrow,Chlorophyll,None,1,80,82,83,100,100,80,625,100.0,2.0,0.875,0,Seed Pokémon,45,20,Monster,Grass,Medium Slow,70,0,0,0,1,3,3,Ivysaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
4,Charmander,Fire,Fire,Blaze,Solar Power,None,1,39,52,43,60,50,65,309,8.5,0.6,0.875,0,Lizard Pokémon,45,20,Monster,Dragon,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
5,Charmeleon,Fire,Fire,Blaze,Solar Power,None,1,58,64,58,80,65,80,405,19.0,1.1,0.875,0,Flame Pokémon,45,20,Monster,Dragon,Medium Slow,70,0,0,0,0,2,3,Charmander,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
6,Charizard,Fire,Flying,Blaze,Solar Power,None,1,78,84,78,109,85,100,634,90.5,1.7,0.875,0,Flame Pokémon,45,20,Monster,Dragon,Medium Slow,70,0,0,0,1,3,3,Charmeleon,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
7,Squirtle,Water,Water,Torrent,Rain Dish,None,1,44,48,65,50,64,43,314,9.0,0.5,0.875,0,Tiny Turtle Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
8,Wartortle,Water,Water,Torrent,Rain Dish,None,1,59,63,80,65,80,58,405,22.5,1.0,0.875,0,Turtle Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,0,2,3,Squirtle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
9,Blastoise,Water,Water,Torrent,Rain Dish,None,1,79,83,100,85,105,78,630,85.5,1.6,0.875,0,Shellfish Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,1,3,3,Wartortle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
