DexNumber,Name,Category,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,Type_Bug,Type_Dark,Type_Dragon,Type_Electric,Type_Fairy,Type_Fighting,Type_Fire,Type_Flying,Type_Ghost,Type_Grass,Type_Ground,Type_Ice,Type_Normal,Type_Poison,Type_Psychic,Type_Rock,Type_Steel,Type_Water,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Egg_Amorphous,Egg_Bug,Egg_Ditto,Egg_Dragon,Egg_Fairy,Egg_Field,Egg_Flying,Egg_Grass,Egg_Human-Like,Egg_Mineral,Egg_Monster,Egg_No Eggs Discovered,Egg_Water 1,Egg_Water 2,Egg_Water 3
494,Victini,Victory Pokémon,Victory Star,None,None,5,100,100,100,100,100,100,600,4.0,0.4,0.5,1,3,120,1250000,100,0,1,0,0,1,1,No Preevolution,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,2.0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
1,Bulbasaur,Seed Pokémon,Overgrow,None,Chlorophyll,1,45,49,49,65,65,45,318,6.9,0.7,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
2,Ivysaur,Seed Pokémon,Overgrow,None,Chlorophyll,1,60,62,63,80,80,60,405,13.0,1.0,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Bulbasaur,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
3,Venusaur,Seed Pokémon,Overgrow,None,Chlorophyll,1,80,82,83,100,100,80,525,100.0,2.0,0.875,0,45,20,1059860,70,0,0,0,1,3,3,Ivysaur,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
4,Charmander,Lizard Pokémon,Blaze,None,Solar Power,1,39,52,43,60,50,65,309,8.5,0.6,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0
5,Charmeleon,Flame Pokémon,Blaze,None,Solar Power,1,58,64,58,80,65,80,405,19.0,1.1,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Charmander,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0
6,Charizard,Flame Pokémon,Blaze,None,Solar Power,1,78,84,78,109,85,100,534,90.5,1.7,0.875,0,45,20,1059860,70,0,0,0,1,3,3,Charmeleon,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0
7,Squirtle,Tiny Turtle Pokémon,Torrent,None,Rain Dish,1,44,48,65,50,64,43,314,9.0,0.5,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
8,Wartortle,Turtle Pokémon,Torrent,None,Rain Dish,1,59,63,80,65,80,58,405,22.5,1.0,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Squirtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
9,Blastoise,Shellfish Pokémon,Torrent,None,Rain Dish,1,79,83,100,85,105,78,530,85.5,1.6,0.875,0,45,20,1059860,70,0,0,0,1,3,3,Wartortle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
